OBJECTID,TRIP_ID,PICKUPTIME,PICKUPADDRESS,PICKUPLONG,PICKUPLAT
2884,2884,41183.31111,Unnamed Road Boston Ma,-71.016902,42.366338
5638,5638,41183.48264,734 Atlantic Ave Boston Ma 02111,-71.056222,42.351023
8173,8173,41183.54097,19 Congress St Boston Ma 02109,-71.056373,42.358577
10657,10657,41183.45694,630 Beacon St Boston Ma 02215,-71.095655,42.349157
13088,13088,41183.64722,Unnamed Road Boston Ma,-71.081668,42.345608
15438,15438,41183.50556,384 Summer St Boston Ma,-71.044445,42.347307
17905,17905,41183.94722,10 Tremont St Boston Ma,-71.060385,42.358208
20418,20418,41184.63403,60 Stuart St Boston Ma 02116,-71.064658,42.351015
22896,22896,41184.51597,40 Long Wharf Boston Ma 02110,-71.050565,42.359868
25410,25410,41184.56875,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.095143,42.348785
27853,27853,41184.50139,1950 Dorchester Ave Boston Ma 02124,-71.064313,42.285425
30208,30208,41184.825,7 Court St Boston Ma 02108,-71.05818,42.358912
32555,32555,41185.62917,90 Cambridge St Boston Ma 02114,-71.061005,42.360762
34927,34927,41184.83194,242 Cambridge St Boston Ma,-71.067815,42.361125
37374,37374,41184.96944,90 Stuart St Boston Ma 02116,-71.065067,42.351075
39868,39868,41183.89375,60 N073 Boston Ma,-71.11456,42.300638
42380,42380,41185.42083,60 N North Grove St Boston Ma,-71.068633,42.361967
44867,44867,41185.84236,Unnamed Road Boston Ma,-71.043367,42.350815
47299,47299,41184.53681,Charles St @ Fruit St Boston Ma,-71.070492,42.362722
49720,49720,41184.34028,Unnamed Road Boston Ma,-71.081143,42.346028
52164,52164,41184.48403,710 Commonwealth Ave Boston Ma,-71.106432,42.349847
54566,54566,41187.06181,720 Atlantic Ave Boston Ma 02111,-71.056052,42.351252
57004,57004,41184.24236,Unnamed Road Boston Ma,-71.079938,42.348165
59414,59414,41184.31806,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.095345,42.348727
61878,61878,41186.14514,1110 Boylston St Boston Ma 02215,-71.08889,42.346963
64270,64270,41186.36806,Unnamed Road Boston Ma,-71.017247,42.36609
66744,66744,41187.77847,710 Atlantic Ave Boston Ma 02111,-71.055965,42.351525
69170,69170,41186.40278,Brighton Ave @ Higgins St Boston Ma,-71.1358,42.353343
71547,71547,41187.33472,Unnamed Road Boston Ma,-71.084162,42.346072
74008,74008,41184.91875,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.09517,42.348728
76539,76539,41184.82083,50 Waverly Pl Boston Ma,-71.056168,42.352425
78955,78955,41186.78056,613 Washington St Boston Ma 02111,-71.06233,42.352667
81445,81445,41186.81875,90 East St Boston Ma 02111,-71.056273,42.351372
83869,83869,41184.8125,Unnamed Road Boston Ma,-71.017278,42.366023
86312,86312,41188.99792,Brighton Ave @ Gardner St Boston Ma,-71.132373,42.353025
88766,88766,41185.33056,Boylston St @ Eliot St Boston Ma 02116,-71.06892,42.352278
91294,91294,41187.99583,110 Dartmouth St Boston Ma 02116,-71.07545,42.346432
93806,93806,41185.55833,Unnamed Road Boston Ma,-71.01853,42.367527
96226,96226,41185.63264,170 Berkeley St Boston Ma 02116,-71.072283,42.349547
98641,98641,41188.11111,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.095293,42.34876
101104,101104,41191.75833,90 W Oak St Boston Ma 02116,-71.064218,42.348377
103582,103582,41190.68403,130 Stuart St Boston Ma 02116,-71.06577,42.351423
106039,106039,41188.87222,1350 Washington St Boston Ma 02118,-71.069353,42.341415
108525,108525,41187.79236,1300 Boylston St Boston Ma 02215,-71.0976,42.344548
110979,110979,41184.83819,Unnamed Road Boston Ma,-71.018472,42.369165
113421,113421,41185.85347,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.095107,42.348743
115891,115891,41185.62014,30 Pemberton Sq Boston Ma 02108,-71.060713,42.35846
118332,118332,41187.89097,107 Causeway St Boston Ma 02114,-71.06182,42.365603
120779,120779,41188.85139,610 Massachusetts Ave Boston Ma,-71.07711,42.336742
123279,123279,41186.39514,Unnamed Road Boston Ma,-71.018117,42.36269
125729,125729,41186.65069,140 Franklin St Boston Ma 02110,-71.056305,42.355537
128138,128138,41187.07153,Brighton Ave @ Gardner St Boston Ma,-71.132492,42.353117
130646,130646,41188.66597,103 Causeway St Boston Ma 02114,-71.061737,42.36529
133103,133103,41186.67569,Unnamed Road Boston Ma,-71.081012,42.346178
135521,135521,41186.39028,460 W Broadway Boston Ma 02127,-71.046638,42.336187
137936,137936,41188.80069,210 State St Boston Ma,-71.052798,42.359545
140369,140369,41188.85069,330 Commonwealth Ave Boston Ma 02115,-71.086667,42.349427
142795,142795,41187.04931,92 Exeter St Boston Ma 02116,-71.07885,42.348278
145292,145292,41186.70208,Unnamed Road Boston Ma,-71.018698,42.362668
147795,147795,41186.75069,30 Franklin St Boston Ma 02110,-71.058988,42.355833
150268,150268,41188.86667,420 Boylston St Boston Ma 02116,-71.072765,42.351373
152746,152746,41187.7375,96 Huntington Ave Boston Ma,-71.079418,42.3471
155156,155156,41187.71111,49 Fargo St Boston Ma 02210,-71.043698,42.346207
157678,157678,41186.40139,Unnamed Road Boston Ma,-71.098235,42.341257
160116,160116,41190.75417,560 Huntington Ave Boston Ma,-71.095888,42.337453
162572,162572,41189.6375,60 N073 Boston Ma,-71.114522,42.300665
165087,165087,41186.92917,150 Tremont St Boston Ma 02111,-71.063462,42.354752
167579,167579,41191.60625,I-93 Boston Ma,-71.05124,42.356045
170073,170073,41194.72917,61 Kneeland St Boston Ma 02111,-71.060892,42.350443
172547,172547,41194.84931,390 W Broadway Boston Ma 02127,-71.048713,42.337413
175010,175010,41189.00764,Huntington Ave Boston Ma,-71.079723,42.346867
177518,177518,41188.56389,North St Boston Ma,-71.056147,42.360505
179950,179950,41190.75417,I-90 @ Unnamed Road Boston Ma,-71.080055,42.347665
182423,182423,41187.97778,Unnamed Road Boston Ma,-71.05643,42.350095
184814,184814,41188.03819,North St Boston Ma,-71.056175,42.360525
187319,187319,41191.88819,103 Milk St Boston Ma 02109,-71.055117,42.357233
189825,189825,41188.27778,710 Atlantic Ave Boston Ma 02111,-71.05596,42.35159
192337,192337,41192.61528,433 Atlantic Ave Boston Ma 02110,-71.051787,42.354488
194813,194813,41190.59861,Park St Boston Ma,-71.063023,42.357568
197269,197269,41191.51806,Unnamed Road Boston Ma,-71.103947,42.338878
199698,199698,41192.49792,20 Lincoln St Boston Ma 02111,-71.057818,42.353052
202221,202221,41199.41528,Avenue Of The Arts Boston Ma,-71.086115,42.341905
204668,204668,41190.41319,Unnamed Road Boston Ma,-71.01716,42.366238
207163,207163,41191.95208,1940 Dorchester Ave Boston Ma 02124,-71.064262,42.285442
209607,209607,41188.13611,130 Stuart St Boston Ma 02116,-71.065695,42.351313
212112,212112,41200.48403,310 Longwood Ave Boston Ma 02215,-71.104832,42.337557
214572,214572,41187.62708,720 Boylston St Boston Ma 02116,-71.080143,42.349437
217103,217103,41200.84653,North St Boston Ma,-71.056147,42.360612
219550,219550,41191.9,Unnamed Road Boston Ma,-71.055838,42.36264
222027,222027,41192.33125,98 Huntington Ave Boston Ma,-71.079302,42.347192
224519,224519,41192.38611,Charles St @ Cambridge St Boston Ma,-71.070558,42.361728
226940,226940,41188.65069,710 Atlantic Ave Boston Ma 02111,-71.055773,42.351462
229339,229339,41197.87014,Commonwealth Ave Boston Ma,-71.115962,42.351057
231812,231812,41188.92222,1360 Boylston St Boston Ma 02215,-71.100057,42.343912
234301,234301,41192.6125,407 Huntington Ave Boston Ma,-71.091853,42.339053
236762,236762,41197.42083,I-93 Boston Ma,-71.052882,42.3602
239185,239185,41189.67222,180 Brookline Ave Boston Ma 02215,-71.101317,42.344188
241681,241681,41193.49167,20 Exeter Pl Boston Ma,-71.060966,42.353426
244163,244163,41192.84653,30 Arch St Boston Ma 02110,-71.05754,42.356087
246618,246618,41190.03194,1200 Commonwealth Ave Boston Ma 02134,-71.130618,42.350132
249099,249099,41191.75903,60 Exchange St Boston Ma 02109,-71.05599,42.358428
251547,251547,41188.03333,90 Stuart St Boston Ma 02116,-71.065057,42.351152
253973,253973,41193.79097,Unnamed Road Boston Ma,-71.017607,42.366025
256476,256476,41189.60556,Unnamed Road Boston Ma,-71.053974,42.360712
258976,258976,41194.85556,60 Federal St Boston Ma 02110,-71.056607,42.355698
261383,261383,41190.8375,60 N073 Boston Ma,-71.11473,42.300668
263861,263861,41194.18333,30 Seaver Pl Boston Ma 02116,-71.065388,42.350203
266378,266378,41193.65903,Stuart St @ I-90 Boston Ma 02116,-71.076717,42.348185
268865,268865,41192.48125,16 Broad St Boston Ma 02110,-71.054367,42.35904
271359,271359,41193.79792,1350 Boylston St Boston Ma 02215,-71.099927,42.343993
273769,273769,41193.71944,Unnamed Road Boston Ma,-71.120332,42.364693
276196,276196,41200.96875,270 Newbury St Boston Ma 02116,-71.083565,42.349477
278592,278592,41195.02569,630 Beacon St Boston Ma 02215,-71.095677,42.349143
280986,280986,41193.87986,Unnamed Road Boston Ma,-71.083115,42.34886
283472,283472,41194.28958,720 Atlantic Ave Boston Ma 02111,-71.056062,42.351467
285995,285995,41190.64792,385 Summer St Boston Ma,-71.044187,42.347207
288515,288515,41194.65694,1410 Boylston St Boston Ma 02215,-71.100983,42.343678
290937,290937,41195.64028,470 Huntington Ave Boston Ma,-71.093758,42.338837
293354,293354,41194.54236,85 Northern Ave Boston Ma 02210,-71.043375,42.352773
295780,295780,41194.68194,120 Stuart St Boston Ma 02116,-71.065595,42.351393
298177,298177,41195.08889,2 Clinton St Boston Ma 02109,-71.055682,42.360708
300617,300617,41189.37917,2 North St Boston Ma 02113,-71.056048,42.360632
303047,303047,41194.63681,Unnamed Road Boston Ma,-71.01932,42.362542
305513,305513,41192.98056,51 Dalton St Boston Ma,-71.085137,42.34705
307999,307999,41202.74653,50 Long Wharf Boston Ma 02110,-71.050523,42.35993
310505,310505,41193.34861,700 Atlantic Ave Boston Ma 02111,-71.0559,42.351677
312921,312921,41188.07986,270 Brighton Ave Boston Ma,-71.137587,42.353413
315396,315396,41189.10903,Charles St Boston Ma,-71.068975,42.355218
317883,317883,41200.98194,Unnamed Road Boston Ma,-71.01845,42.36928
320396,320396,41195.91736,Commonwealth Ave @ Unnamed Road Boston Ma,-71.123257,42.351927
322863,322863,41195.62569,Avenue Of The Arts Boston Ma,-71.086492,42.341628
325291,325291,41195.06042,Brighton Ave @ Gardner St Boston Ma,-71.13244,42.353018
327780,327780,41189.51458,Charles St Boston Ma,-71.069383,42.356113
330278,330278,41195.93403,190 Hemenway St Boston Ma 02115,-71.090828,42.34127
332733,332733,41196.66806,710 Atlantic Ave Boston Ma 02111,-71.05594,42.351485
335262,335262,41195.90903,90 Clarendon St Boston Ma 02116,-71.07357,42.347365
337735,337735,41196.00833,Unnamed Road Boston Ma,-71.089092,42.349725
340237,340237,41204.48472,8 N Beacon St Boston Ma,-71.137822,42.353628
342737,342737,41208.89375,Unnamed Road Boston Ma,-71.018487,42.369103
345244,345244,41196.70694,160 Tremont St Boston Ma 02111,-71.063708,42.354627
347685,347685,41196.80764,Unnamed Road Boston Ma,-71.02255,42.365493
350248,350248,41202.91806,760 E Broadway Boston Ma 02127,-71.035313,42.335697
352739,352739,41193.41528,270 Beacon St Boston Ma 02116,-71.079552,42.353563
355251,355251,41195.84444,280 Brookline Ave Boston Ma,-71.104683,42.341235
357807,357807,41196.00278,100 Tremont St Boston Ma 02108,-71.061113,42.357365
360361,360361,41210.12847,110 Boylston St Boston Ma 02116,-71.07047,42.35198
362876,362876,41195.78958,320 Hanover St Boston Ma 02113,-71.053775,42.364408
365393,365393,41193.61181,Unnamed Road Boston Ma,-71.016862,42.366392
367874,367874,41189.04514,Unnamed Road Boston Ma,-71.051117,42.373607
370323,370323,41211.22292,470 W Broadway Boston Ma 02127,-71.046268,42.335943
372808,372808,41195.94375,40 Forsyth St Boston Ma,-71.090693,42.340052
375288,375288,41196.01111,480 W Broadway Boston Ma 02127,-71.04614,42.335888
377720,377720,41198.88403,Unnamed Road Boston Ma,-71.041597,42.350008
380157,380157,41196.04444,460 W Broadway Boston Ma 02127,-71.046623,42.336165
382614,382614,41198.66319,135 Tremont St Boston Ma 02111,-71.062597,42.355935
385083,385083,41198.76111,Unnamed Road Boston Ma,-71.041135,42.34908
387525,387525,41199.46528,40 N073 Boston Ma,-71.114597,42.300737
389963,389963,41196.38681,60 N073 Boston Ma,-71.114603,42.300668
392445,392445,41207.95764,570 Commonwealth Ave Boston Ma,-71.100262,42.349137
394928,394928,41199.39236,Unnamed Road Boston Ma,-71.040695,42.349037
397448,397448,41200.03542,160 Washington St Boston Ma 02108,-71.058137,42.358483
399922,399922,41199.61736,70 School St Boston Ma 02108,-71.059848,42.357893
402342,402342,41195.55347,70 Commonwealth Ave Boston Ma 02116,-71.074802,42.352537
404820,404820,41200.30972,1220 Commonwealth Ave Boston Ma,-71.13081,42.350638
407293,407293,41199.71806,100 Oliver St Boston Ma 02110,-71.052995,42.355985
409784,409784,41191.77847,180 Mount Vernon St Boston Ma 02125,-71.048193,42.320268
412251,412251,41195.75,250 Marlborough St Boston Ma 02116,-71.082422,42.351997
414761,414761,41197.38889,Unnamed Road Boston Ma,-71.043038,42.349912
417242,417242,41201.52847,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.095103,42.34883
419685,419685,41209.80278,214 Massachusetts Ave Boston Ma 02115,-71.086618,42.34501
422148,422148,41197.44514,20 Park Plz Boston Ma 02116,-71.06901,42.351348
424564,424564,41200.51667,Unnamed Road Boston Ma,-71.08188,42.34875
427011,427011,41190.63194,Unnamed Road Boston Ma,-71.022273,42.36538
429502,429502,41200.90139,765 Boylston St Boston Ma 02116,-71.081663,42.349025
431945,431945,41200.98819,Unnamed Road Boston Ma,-71.018477,42.369285
434350,434350,41201.53403,Battery Wharf Boston Ma,-71.050482,42.367152
436795,436795,41201.8375,82 Beacon St Boston Ma,-71.07113,42.355738
439282,439282,41201.90278,40 Congress St Boston Ma,-71.057063,42.360507
441694,441694,41209.97083,137 State St Boston Ma 02109,-71.054427,42.359263
444130,444130,41197.68611,140 Dartmouth St Boston Ma 02116,-71.075913,42.347347
446577,446577,41201.64375,158 Berkeley St Boston Ma 02116,-71.072067,42.349327
449052,449052,41198.9375,320 Hanover St Boston Ma 02113,-71.053562,42.36449
451538,451538,41201.90625,110 State St Boston Ma 02109,-71.054912,42.359055
453970,453970,41201.98264,Charles St @ Cambridge St Boston Ma,-71.070578,42.361742
456425,456425,41201.94514,160 Brighton Ave Boston Ma,-71.132628,42.353014
458936,458936,41192.72986,80 Atlantic Ave Boston Ma 02110,-71.05099,42.36263
461403,461403,41195.47986,10 Temple St Boston Ma 02114,-71.063622,42.361092
463880,463880,41202.53611,Unnamed Road Boston Ma,-71.022113,42.36537
466321,466321,41194.86042,138 Tremont St Boston Ma 02111,-71.062747,42.355755
468750,468750,41202.07083,Unnamed Road Boston Ma,-71.017013,42.36627
471265,471265,41203.90903,1666 Dorchester Ave Boston Ma 02122,-71.062035,42.29353
473710,473710,41202.35069,470 W Broadway Boston Ma 02127,-71.04625,42.335952
476195,476195,41202.78542,Commonwealth Ave Boston Ma,-71.115972,42.351053
478678,478678,41199.67639,710 Boylston St Boston Ma 02116,-71.079842,42.349472
481141,481141,41202.98819,I-90 @ Boylston St Boston Ma,-71.084212,42.347922
483565,483565,41197.98472,N351 Boston Ma,-71.021,42.36817
486022,486022,41203.09097,500 Washington St Boston Ma 02135,-71.160982,42.348937
488502,488502,41204.83264,750 Boylston St Boston Ma 02116,-71.080978,42.349105
490974,490974,41191.77917,Unnamed Road Boston Ma,-71.019077,42.362842
493465,493465,41203.65278,Unnamed Road Boston Ma,-71.018723,42.369008
495946,495946,41203.36667,380 Huntington Ave Boston Ma,-71.090568,42.339865
498448,498448,41204.46806,Unnamed Road Boston Ma,-71.01833,42.369213
500929,500929,41191.96875,Unnamed Road Boston Ma,-71.01853,42.368867
503441,503441,41195.75417,50 Atlantic Ave Boston Ma 02110,-71.05108,42.363055
505882,505882,41205.77778,Unnamed Road Boston Ma,-71.016728,42.365895
508391,508391,41193.91458,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.095523,42.348713
510934,510934,41204.58819,Unnamed Road Boston Ma,-71.02204,42.365467
513452,513452,41203.75764,330 Hanover St Boston Ma 02113,-71.053542,42.364783
515903,515903,41204.79097,30 Federal St Boston Ma 02110,-71.056805,42.35633
518347,518347,41204.86111,120 Tremont St Boston Ma 02108,-71.061592,42.356742
