TRIP_ID,PICKUPTIME,PICKUPADDRESS,PICKUPLONG,PICKUPLAT
2299,41214.02917,140 Boylston St Boston Ma 02116,-71.066153,42.35251
4920,41214.27986,720 E Broadway Boston Ma 02127,-71.036518,42.33556
7669,41214.31319,690 Boylston St Boston Ma 02116,-71.079313,42.349672
10282,41214.66389,1100 Boylston St Boston Ma 02215,-71.08857,42.347053
12798,41214.68264,Boylston St @ Eliot St Boston Ma 02116,-71.069027,42.352192
15257,41214.85625,Unnamed Road Boston Ma,-71.018403,42.369273
17651,41214.77361,190 Dartmouth St Boston Ma 02116,-71.076778,42.348943
19999,41215.06042,149 Dartmouth St Boston Ma 02116,-71.076202,42.347652
22450,41214.95903,30 N Commercial Wharf Boston Ma 02110,-71.050865,42.362488
24891,41215.36458,40 Staniford St Boston Ma 02114,-71.06389,42.363195
27385,41214.76667,90 Murphy Ct Boston Ma 02113,-71.051173,42.3654
29832,41215.02639,745 Atlantic Ave Boston Ma 02111,-71.056368,42.350627
32277,41215.6625,Unnamed Road Boston Ma,-71.083145,42.348903
34712,41215.75972,Commonwealth Ave @ W Charlesgate Boston Ma 02215,-71.093858,42.34877
37206,41215.94306,1940 Dorchester Ave Boston Ma 02124,-71.064287,42.285447
39678,41215.88403,130 Belvidere St Boston Ma 02115,-71.081967,42.345422
42189,41214.97708,511 Tremont St Boston Ma 02116,-71.069882,42.345188
44661,41216.02708,220 Ipswich St Boston Ma,-71.09558,42.34586
47086,41215.93333,Unnamed Road Boston Ma,-71.059807,42.35025
49588,41215.77014,I-90 @ Dartmouth St Boston Ma,-71.076157,42.347855
52077,41216.06528,93 Hemenway St Boston Ma 02115,-71.089938,42.343865
54573,41215.79444,50 Belvidere St Boston Ma 02115,-71.085058,42.346198
57067,41216.39444,645 Tremont St Boston Ma 02118,-71.075088,42.342055
59488,41215.71736,110 State St Boston Ma 02109,-71.055038,42.359198
61961,41216.81597,690 Boylston St Boston Ma 02116,-71.079288,42.349575
64419,41216.75278,840 Boylston St Boston Ma 02199,-71.082973,42.348668
66934,41216.95347,1949 Beacon St Boston Ma 02135,-71.150413,42.336148
69428,41215.87569,Unnamed Road Boston Ma,-71.120357,42.365127
71940,41216.17708,N Beacon St @ Brighton Ave Boston Ma,-71.137777,42.353573
74527,41217.67431,109 Causeway St Boston Ma 02114,-71.061528,42.365478
