"TRIP_ID","DROPTIME","DROPADDRESS","DROPLONG","DROPLAT","PICKUPTIME","PICKUPADDRESS","PICKUPLONG","PICKUPLAT"
19888,"11/2/12 12:42 AM","60 Silver Pl Boston Ma 02114",-71.070387,42.360865,"11/2/12 12:37 AM","110 Dartmouth St Boston Ma 02116",-71.075425,42.346203
39825,"11/3/12 12:23 AM","10 Bowdoin St Boston Ma 02108",-71.063008,42.360873,"11/3/12 12:23 AM","10 Bowdoin St Boston Ma 02108",-71.062995,42.360870
60121,"11/2/12 12:24 PM","150 Gainsborough St Boston Ma 02115",-71.089198,42.342528,"11/2/12 12:19 PM","Unnamed Road Boston Ma",-71.099865,42.340617
80844,"11/3/12 5:49 PM","Unnamed Road Boston Ma",-71.040833,42.348932,"11/3/12 5:43 PM","70 Black Falcon Ave Boston Ma 02210",-71.028705,42.344240
102015,"11/4/12 7:39 PM","207 Hanover St Boston Ma 02113",-71.055405,42.362925,"11/4/12 7:34 PM","700 Atlantic Ave Boston Ma 02111",-71.055843,42.351677
122854,"11/6/12 7:00 PM","270 Northern Ave Boston Ma 02210",-71.038378,42.348609,"11/6/12 6:48 PM","30 Seaver Pl Boston Ma 02116",-71.065331,42.350256
142730,"11/8/12 1:30 PM","Unnamed Road Boston Ma",-71.019302,42.363760,"11/8/12 1:18 PM","400 Summer St Boston Ma 02210",-71.044303,42.347565
162085,"11/7/12 12:20 PM","Unnamed Road Boston Ma",-71.082728,42.348878,"11/7/12 12:12 PM","40 Tremont St Boston Ma",-71.059735,42.359055
181012,"11/7/12 1:29 PM","1 River St Boston Ma",-71.069857,42.356182,"11/7/12 1:25 PM","16 Avery St Boston Ma 02111",-71.063302,42.353362
199677,"11/9/12 4:44 PM","4 Harrison Ave Boston Ma 02111",-71.061040,42.353597,"11/9/12 4:25 PM","Unnamed Road Boston Ma",-71.022553,42.365642
218673,"11/8/12 6:54 PM","260 Northern Ave Boston Ma 02210",-71.038797,42.348770,"11/8/12 6:54 PM","260 Northern Ave Boston Ma 02210",-71.038790,42.348778
238566,"11/10/12 1:43 AM","120 Dartmouth St Boston Ma 02116",-71.075522,42.346657,"11/10/12 1:41 AM","672 Tremont St Boston Ma 02118",-71.076552,42.341450
258658,"11/10/12 8:22 PM","90 India Wharf Boston Ma 02110",-71.050184,42.357722,"11/10/12 8:16 PM","200 Washington St Boston Ma 02108",-71.058142,42.358125
279490,"11/11/12 11:29 PM","Unnamed Road Boston Ma",-71.056123,42.360978,"11/11/12 11:21 PM","110 Harrison Ave Boston Ma 02111",-71.061490,42.350478
299822,"11/12/12 2:54 PM","90 Estes Pl Boston Ma 02110",-71.054180,42.352160,"11/12/12 2:46 PM","29 Congress St Boston Ma 02109",-71.056733,42.358422
