inject_date,street,city,roadType,pubMillis,locy,locx,subtype,reliability,uuid,type,reportRating,magvar,country,startTime,startTimeMillis,endTime,endTimeMillis
02/23/2015 12:30:00 AM,Dudley St,"Boston, MA",7,1424651035071,42.328498000000003,-71.081631000000002,ACCIDENT_MINOR,5,ffe6b173-740b-3688-9c34-86e9e8a46c88,ACCIDENT,0,97,US,02/23/2015 12:26:00 AM,1424651160000,02/23/2015 12:27:00 AM,1424651220000
02/23/2015 12:30:00 AM,I-93 S,,3,1424651300338,42.306866999999997,-71.053962999999996,ACCIDENT_MINOR,5,d1acc938-ba62-3d1d-b36f-175779638120,ACCIDENT,0,171,US,02/23/2015 12:26:00 AM,1424651160000,02/23/2015 12:27:00 AM,1424651220000
02/23/2015 12:40:00 AM,to I-93 S / Quincy,"Boston, MA",4,1424651738332,42.348550000000003,-71.060236000000003,ACCIDENT_MINOR,5,efb5eca1-ac45-3b10-84ad-cf2dfd407e44,ACCIDENT,1,-171,US,02/23/2015 12:35:00 AM,1424651700000,02/23/2015 12:36:00 AM,1424651760000
02/23/2015 12:40:00 AM,Dudley St,"Boston, MA",7,1424651035071,42.328498000000003,-71.081631000000002,ACCIDENT_MINOR,5,ffe6b173-740b-3688-9c34-86e9e8a46c88,ACCIDENT,0,97,US,02/23/2015 12:35:00 AM,1424651700000,02/23/2015 12:36:00 AM,1424651760000
02/23/2015 12:40:00 AM,I-93 S,,3,1424651300338,42.306866999999997,-71.053962999999996,ACCIDENT_MINOR,5,d1acc938-ba62-3d1d-b36f-175779638120,ACCIDENT,0,171,US,02/23/2015 12:35:00 AM,1424651700000,02/23/2015 12:36:00 AM,1424651760000
02/23/2015 12:50:00 AM,to I-93 S / Quincy,"Boston, MA",4,1424651738332,42.348550000000003,-71.060236000000003,ACCIDENT_MINOR,5,efb5eca1-ac45-3b10-84ad-cf2dfd407e44,ACCIDENT,1,-171,US,02/23/2015 12:46:00 AM,1424652360000,02/23/2015 12:47:00 AM,1424652420000
02/23/2015 12:50:00 AM,Dudley St,"Boston, MA",7,1424651035071,42.328498000000003,-71.081631000000002,ACCIDENT_MINOR,5,ffe6b173-740b-3688-9c34-86e9e8a46c88,ACCIDENT,0,97,US,02/23/2015 12:46:00 AM,1424652360000,02/23/2015 12:47:00 AM,1424652420000
02/23/2015 12:50:00 AM,I-93 S,,3,1424651300338,42.306866999999997,-71.053962999999996,ACCIDENT_MINOR,5,d1acc938-ba62-3d1d-b36f-175779638120,ACCIDENT,0,171,US,02/23/2015 12:46:00 AM,1424652360000,02/23/2015 12:47:00 AM,1424652420000
02/23/2015 01:00:00 AM,to I-93 S / Quincy,"Boston, MA",4,1424651738332,42.348550000000003,-71.060236000000003,ACCIDENT_MINOR,5,efb5eca1-ac45-3b10-84ad-cf2dfd407e44,ACCIDENT,1,-171,US,02/23/2015 12:55:00 AM,1424652900000,02/23/2015 12:56:00 AM,1424652960000
02/23/2015 01:00:00 AM,I-93 S,,3,1424651300338,42.306866999999997,-71.053962999999996,ACCIDENT_MINOR,5,d1acc938-ba62-3d1d-b36f-175779638120,ACCIDENT,0,171,US,02/23/2015 12:55:00 AM,1424652900000,02/23/2015 12:56:00 AM,1424652960000
02/23/2015 01:10:00 AM,to I-93 S / Quincy,"Boston, MA",4,1424651738332,42.348550000000003,-71.060236000000003,ACCIDENT_MINOR,5,efb5eca1-ac45-3b10-84ad-cf2dfd407e44,ACCIDENT,1,-171,US,02/23/2015 01:00:00 AM,1424653200000,02/23/2015 01:01:00 AM,1424653260000
02/23/2015 02:40:00 PM,Nonantum Rd,"Boston, MA",2,1424698502080,42.358468000000002,-71.160667000000004,ACCIDENT_MINOR,10,6cad8de7-9414-3138-8402-4a67845abb42,ACCIDENT,3,80,US,02/23/2015 02:37:00 PM,1424702220000,02/23/2015 02:38:00 PM,1424702280000
02/23/2015 09:30:00 AM,I-93 N,,3,1424683374848,42.284638000000001,-71.043234999999996,ACCIDENT_MAJOR,5,c7c5c35f-4ce5-3fcf-a6b9-f74c3715ca80,ACCIDENT,3,26,US,02/23/2015 09:25:00 AM,1424683500000,02/23/2015 09:26:00 AM,1424683560000
