OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,OBJECTID_1,Shape_Leng,Top_in_RPA
7,0,26,01e708a1-b4f9-4df3-be33-f259e171c2f2,0,15,11,86,HARVARD STREET,COMMONWEALTH AVENUE,N129 NB,SR30 EB,HARVARD STREET,COMMONWEALTH AVENUE,N129 NB,SR30 EB,METROPOLITAN AREA PLANNING COUNCIL,"BROOKLINE,BOSTON",6,{355FED1B-3FCD-4C49-996C-2E7B5B7BCE10},,,,,1680.699132,1,1680.699094,Y
68,0,18,aa92ff61-4c12-417b-b43c-56a4f6cb1185,0,12,6,66,BROADWAY,DIVISION STREET, ,L203037 NB,TOBIN BRIDGE,BROADWAY,US1 NB, ,METROPOLITAN AREA PLANNING COUNCIL,CHELSEA,6,{E24FF729-E0BF-4F86-BF96-42B771B97B78},,,,,1173.742527,2,1173.742574,Y
88,0,13,b9be2cf0-c17e-4f1e-9486-5af021a90bd9,0,10,3,53,BRATTLE STREET,ASH STREET,N1463,L130484,BRATTLE STREET,MASON STREET,N1463,N1465,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{4CB0D3C2-830B-4C4B-908E-96C3CF355BD6},,,,,1344.840161,3,1344.840223,Y
108,0,31,4ad50715-0354-4ed8-9cf3-cb42bf6c8935,0,15,16,91,CAMBRIDGE STREET,COLUMBIA STREET,N1480,N1207 NB,CAMBRIDGE STREET,COLUMBIA STREET,N1480,N1207 NB,METROPOLITAN AREA PLANNING COUNCIL,"CAMBRIDGE,SOMERVILLE","6,4",{D47381E3-511F-4FB1-BFAB-7FD0AFBB533F},,,,,1150.045795,4,1150.045747,Y
111,0,4,8ead169f-211b-4abc-8927-f009ed8939a8,1,3,0,25,WESTERN AVENUE,GILLETT ROAD,N4804,L201212,WESTERN AVENUE,GILLETT ROAD,N4804,L201212,PIONEER VALLEY PLANNING COMMISSION,WESTFIELD,2,{B007A26F-4CAE-4B06-AB24-2684F50D924C},,,,,743.755818,5,743.755835,Y
127,0,13,4c4a3f66-a7aa-4f3e-a16c-f95293ac80a1,0,10,3,53,TEATICKET HIGHWAY,BEAGLE LANE,SR28 NB,L168497,TEATICKET HIGHWAY,MARAVISTA AVENUE,SR28 NB,N3293,CAPE COD COMMISSION,FALMOUTH,5,{E743DDA6-1D15-4F58-8F31-144BDBDB0DDD},,,,,1291.976261,6,1291.976196,Y
163,0,5,eb4339f9-f08a-40c1-b293-4c0ad3e7d062,0,4,1,21,WASHINGTON STREET,WHITMAN AVENUE,N4655,L195061,TEMPLE STREET,SOUTH AVENUE,SR27 NB,SR27 NB,OLD COLONY PLANNING COUNCIL,WHITMAN,5,{FF5ECFE8-A54C-4DBC-99B6-3C2C6CF03CD0},,,,,1104.051531,7,1104.051524,Y
183,0,7,a9a2bc91-c143-4b7f-9841-c2e100e3122d,0,5,2,27,SOUTH MAIN STREET,GLOBE STREET,SR138 NB,N5405,SOUTH MAIN STREET,GLOBE STREET,SR138 NB,N5405,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{31F2F251-3590-4B37-B923-E9717436E094},,,,,977.834404,8,977.834338,Y
196,0,21,b2cdcfc9-d766-4b53-8f14-1b3e44b1ff58,0,11,10,65,WASHINGTON STREET,MARGIN STREET,SR114 EB,N373,WASHINGTON STREET,MARGIN STREET,SR114 EB,N373,METROPOLITAN AREA PLANNING COUNCIL,SALEM,4,{02358DD5-FFD0-4BB4-9506-0E17FABBBA8E},,,,,1631.246979,9,1631.247005,Y
198,0,12,a72546e8-1879-4afe-8040-76d9aacb777a,0,10,2,52,WILLIAM T MORRISSEY BOULEVARD,WILLIAM J DAY BOULEVARD,N118 NB,N121 NB,WILLIAM T MORRISSEY BOULEVARD,WILLIAM J DAY BOULEVARD,N118 NB,N121 NB,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{3E2CBEC5-79AB-4C6E-B8DA-8AC5B304915D},,,,,896.101343,10,896.101291,Y
