OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,Top_200_Ca,Top_in_RPA,RPA_abbrev,Shape_Leng
1,0,15,9aa563d0-3a62-40f1-a847-9a8ec1fcde2b,0,6,9,39,SOUTH UNION STREET,SALEM STREET,N4225,N4228,SOUTH UNION STREET,SALEM STREET,N4225,N4228,MERRIMACK VALLEY PLANNING COMMISSION,LAWRENCE,4,{CA1F30D5-98BE-49C9-B18E-68E9DEF9CC9A},,,,,156.880348, ,Y,MVPC,156.88037
2,0,17,0a7c39fc-47a7-4113-a6c6-55bbd4c436b5,0,7,10,45,INTERSTATE 195,RAMP-RT 24 NB TO RT 195 EB,I195 EB,SR24 NB,INTERSTATE 195,RAMP-RT 24 NB TO RT 195 EB,I195 EB,SR24 NB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{3ED516E2-3801-43FA-9012-850685D0331A},,,,,240.946753, ,Y,SRPEDD,240.946774
3,0,24,b1045e90-a7c3-4f57-8c4d-92fb9fcb2130,0,7,17,52,BOSTON ROAD,TREBLE COVE ROAD,SR3A NB,N4411,BOSTON ROAD,TREBLE COVE ROAD,SR3A NB,N4411,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,BILLERICA,4,{B6C26E75-760E-4B87-8888-1DC1BDE8EDC9},,,,,187.776991, ,Y,NMCOG,187.776968
4,0,24,38080a2e-780f-494e-8280-49ef1974c305,0,5,19,44,ALLEN STREET,ROCKDALE AVENUE,N5481,N100 EB,ROCKDALE AVENUE,ALLEN STREET,N100 EB,N5481,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{65D81621-AC4D-44BE-ABFF-21A248692C15},,,,,205.577707, ,Y,SRPEDD,205.577809
5,0,22,7bd13eae-54a9-4f0b-ba62-ad182ab283b9,0,6,16,46,WATER STREET,CAREY STREET,SR12 NB,L127628,WATER STREET,CAREY STREET,SR12 NB,L127628,MONTACHUSETT REGIONAL PLANNING COMMISSION,FITCHBURG,3,{C3867776-4866-49A9-8ED3-52EBC579FB0F},,,,,191.805767, ,Y,MRPC,191.80576
6,0,57,dc6af4f0-3211-455f-9867-a4528d3ed8bb,0,13,44,109,BEARSES WAY,FALMOUTH ROAD,N307,SR28 NB,BEARSES WAY,FALMOUTH ROAD,N307,SR28 NB,CAPE COD COMMISSION,BARNSTABLE,5,{3874498F-00A0-4A79-A5CB-CC2C5FEB8164},,,,,186.369459,Y,Y,CCC,186.369461
7,0,41,4d43858d-e318-46a2-b768-8fd96965779d,0,9,32,77,CHARLTON ROAD, ,US20 EB,L039557,CHARLTON ROAD,HALL ROAD,US20 EB,N3515,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,STURBRIDGE,3,{9F9C9F0F-563D-45F4-AB88-16563F76AE15},,,,,497.893619, ,Y,CMRPC,497.893641
8,0,19,a64ff0b5-565d-4695-b218-b03e5315cd6d,0,9,10,55,INTERSTATE 93,RAMP-RT 93 SB TO FALLON RD,I93 SB,R12180,INTERSTATE 93,RAMP-RT 93 SB TO FALLON RD,I93 SB,R12180,METROPOLITAN AREA PLANNING COUNCIL,STONEHAM,4,{0C014554-92D5-4AF1-B925-D58DB107F50A},,,,,156.880316, ,Y,MAPC,156.880316
9,0,51,21ec963f-1cff-48b4-9962-d77cbd670d23,0,3,48,63,MAIN STREET, ,SR38 NB, ,MAIN STREET, ,SR38 NB, ,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,TEWKSBURY,4,{2D2067FA-1384-4D61-8B7E-B4D2BB68C304},,,,,177.800232, ,Y,NMCOG,177.800276
10,0,15,f10738a4-609c-4c1e-b9c5-efde0cf6a75f,0,6,9,39,PLEASANT STREET,CHESTNUT STREET,N3574,L195050,PLEASANT STREET,CHESTNUT STREET,N3574,L195050,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{31764D1B-BC3B-42BB-A3AA-80C77333A49C},,,,,165.29408, ,Y,CMRPC,165.294057
