OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,RANK,MAP_NAME,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
1,0,32,2db0661e-59bb-4a68-869f-c6fca8b1e559,0,24,8,128,HANCOCK STREET,BEALE STREET,SR3A NB,BSR0523,HANCOCK STREET,BEALE STREET,SR3A NB,BSR0523,MAPC,QUINCY,6,0, ,{F80FE7FD-A7B1-4E2C-9E69-74770FC0DC72},,,,,196035.264938,2182.733685
2,0,17,7168cdc2-bba6-4f82-86ea-12c52acc4f56,0,13,4,69,MOUNT AUBURN STREET,ARLINGTON STREET,SR16 EB,BSR1348,MOUNT AUBURN STREET,ARLINGTON STREET,SR16 EB,BSR1348,MAPC,WATERTOWN,6,0, ,{ECB50378-F918-46FA-9746-EDD46DB549EE},,,,,101609.540497,1285.053089
3,0,18,901e858f-ff75-49ff-a959-2467c7593da6,0,13,5,70,NAHATAN STREET,WASHINGTON STREET,BSR0542,SR1A NB,NAHATAN STREET,WASHINGTON STREET,BSR0542,SR1A NB,MAPC,NORWOOD,5,0, ,{F7992276-3138-425C-AA1F-C241FD38DB01},,,,,111700.841339,1411.65477
4,0,21,fe817d4f-24a7-4703-b9fd-16ee543fb54f,3,16,2,112,NORTH STREET,FIRST STREET,N001,US7 NB,NORTH STREET,FIRST STREET,N001,US7 NB,BRPC,PITTSFIELD,1,0, ,{CFB35B72-61AC-42E3-95B1-8C572A32AA07},,,,,133859.550358,1562.368494
5,0,15,e013ddd6-6556-4748-985a-dd4c3f6b98f3,0,9,6,51,HIGH STREET, ,SR60 EB,B1,HIGH STREET,SALEM STREET,SR60 EB,SR60 WB,MAPC,MEDFORD,4,0, ,{DBD87245-78DF-4F6D-AA6B-F35405F4DE90},,,,,102856.052536,1298.747961
6,0,8,9ec105a1-6a1b-43ec-a573-51dace960792,2,6,0,50,BOSTON ROAD,BOYER STREET,N011,L188943,BOSTON ROAD,JASPER STREET,N011,PVR126,PVPC,SPRINGFIELD,2,0, ,{41E43296-A18B-46BC-99E0-CFD88F249010},,,,,57871.735817,882.295085
7,0,81,ff4f40db-a9b0-4307-a706-7f62daf8effd,3,50,28,308,JOHN F FITZGERALD EXPRESSWAY,BOYLSTON STREET,I93 NB,SR2 EB,JOHN F FITZGERALD EXPRESSWAY,RAMP-RTS 93 SB/3 SB TO RTS 90 WB/93 SB,I93 NB,L224923,MAPC,BOSTON,6,7,7 - JOHN F FITZGERALD EXPRESSWAY & BOYLSTON STREET,{ED7C715C-B0BF-421A-9166-CD0BC6BE2424},,,,,463843.603577,3344.778046
8,0,15,e023e430-707b-4658-b898-fd55c5697ba1,0,10,5,55,ESSEX STREET,WINTER STREET,MVR041,SR97 NB,ESSEX STREET,WINTER STREET,MVR041,SR97 NB,MVPC,HAVERHILL,4,0, ,{A2E853B5-338C-4A01-A33A-C3104A30D0AC},,,,,97806.423309,1256.243077
9,0,18,647d3ec2-7dc2-42f0-a2c0-d9b8072534ed,0,14,4,74,MAIN STREET,CENTRAL SQUARE,OCR045,L187217,MONTELLO STREET,MAIN STREET,SR28 NB,OCR045,OCPC,BROCKTON,5,0, ,{6A3DE48A-027D-4CC5-9D7E-24EB3A318389},,,,,146032.885498,1748.560841
10,0,26,e26a691f-e6c2-4057-8400-08c50f58f7b9,0,19,7,102,HANCOCK STREET,BILLINGS ROAD,SR3A NB,BSR1853,HANCOCK STREET,BILLINGS ROAD,SR3A NB,BSR1853,MAPC,QUINCY,6,0, ,{CBCA4762-6D84-4396-885A-92E71035CA08},,,,,133766.109009,1449.686309
