id	lat	lng	data/0/date	data/0/count	data/1/date	data/1/count	data/2/date	data/2/count	data/3/date	data/3/count	data/4/date	data/4/count	data/5/date	data/5/count	data/6/date	data/6/count	data/7/date	data/7/count	data/8/date	data/8/count	data/9/date	data/9/count
203501	42.3421746	-71.0629376	Wed 4/3/1991	24548	Tue 4/2/1991	15493																
203507	42.4065393	-71.167457	Wed 4/3/1991	49409	Tue 4/2/1991	47243																
203513	42.357555	-71.0545667	Tue 9/17/1991	11270																		
203517	42.3646036	-71.0697573	Fri 9/13/1991	68992	Mon 9/9/1991	13029																
235775	42.338246	-71.0584426	Sun 11/11/2001	4296	Sat 11/10/2001	3027	Fri 11/9/2001	9840	Thu 11/8/2001	12679	Wed 11/7/2001	12268	Tue 11/6/2001	9817	Mon 11/5/2001	9136	Sun 11/4/2001	9118				
235780	42.3666665	-71.0682699	Sun 4/29/2001	14110	Sat 4/28/2001	17221	Fri 4/27/2001	22164	Thu 4/26/2001	22109	Wed 4/25/2001	21714										
235782	42.3666665	-71.0682699	Sun 4/29/2001	17119	Sat 4/28/2001	13156	Fri 4/27/2001	19400	Thu 4/26/2001	24854	Wed 4/25/2001	23151	Tue 4/24/2001	25772	Mon 4/9/2001	20	Sun 4/8/2001	32				
238079	42.3614991	-71.075347	Sun 5/4/2003	8599	Sat 5/3/2003	9980	Fri 5/2/2003	14077	Thu 5/1/2003	13972	Wed 4/30/2003	13649	Tue 4/29/2003	12696	Mon 4/28/2003	12583						
238081	42.3679413	-71.059324	Tue 3/29/2005	41056	Mon 3/28/2005	36323																
238092	42.3542372	-71.0800015	Wed 5/21/2003	104864	Tue 5/20/2003	103744																
238094	42.3542372	-71.0800015	Thu 5/22/2003	80117	Wed 5/21/2003	80043	Tue 5/20/2003	80718	Mon 5/19/2003	78768												
239065	42.3600825	-71.0588801	Mon 7/26/1999	29073	Sun 7/25/1999	21879	Sat 7/24/1999	23481	Fri 7/23/1999	27425	Thu 7/22/1999	32061										
239053	42.3630786	-71.0533355	Thu 5/22/2003	17140	Wed 5/21/2003	16245	Tue 5/20/2003	16665	Mon 5/19/2003	17919												
239396	42.3309908	-71.0645207	Wed 6/8/2005	8247	Tue 6/7/2005	4815	Mon 6/6/2005	8104	Sun 6/5/2005	8360	Tue 8/24/1999	17614	Mon 8/23/1999	18064	Tue 7/27/1999	10683	Mon 7/26/1999	15404	Sun 7/25/1999	11869	Sat 7/24/1999	13458
239413	42.3600825	-71.0588801	Mon 7/26/1999	8231	Sun 7/25/1999	5427	Sat 7/24/1999	4988	Fri 7/23/1999	7333	Thu 7/22/1999	7689										
240081	42.3600825	-71.0588801	Tue 8/24/1999	26448	Mon 8/23/1999	26108	Tue 7/27/1999	7745	Thu 7/22/1999	8175												
240082	42.3600825	-71.0588801	Tue 8/24/1999	18743	Mon 8/23/1999	18024																
240084	42.3600825	-71.0588801	Tue 7/27/1999	3643	Thu 7/22/1999	20185																
240091	42.4065393	-71.167457	Tue 7/27/1999	15240	Mon 7/26/1999	15722	Sun 7/25/1999	9962	Sat 7/24/1999	11922												
240092	42.3600825	-71.0588801	Tue 7/27/1999	194	Mon 7/26/1999	164	Sun 7/25/1999	12	Sat 7/24/1999	58	Fri 7/23/1999	75										
240093	42.3600825	-71.0588801	Tue 8/24/1999	18002	Mon 8/23/1999	17856	Thu 7/22/1999	20231														
240095	42.3600825	-71.0588801	Tue 8/24/1999	29136	Mon 8/23/1999	27891																
240096	42.3600825	-71.0588801	Mon 7/26/1999	12587	Sun 7/25/1999	7092	Sat 7/24/1999	8762	Fri 7/23/1999	13855	Thu 7/22/1999	14087										
240101	42.3600825	-71.0588801	Mon 7/26/1999	23887	Sun 7/25/1999	16911																
250035	42.3493111	-71.0436997	Thu 10/3/2002	9403	Wed 10/2/2002	8950	Tue 10/1/2002	8531														
250038	42.3600825	-71.0588801	Thu 5/22/2003	6227	Wed 5/21/2003	6475	Tue 5/20/2003	6622	Mon 5/19/2003	6553												
250036	42.3448372	-71.0493904	Thu 10/3/2002	1950	Wed 10/2/2002	2000	Tue 10/1/2002	1708														
250041	42.3577756	-71.070295	Wed 5/21/2003	12802	Tue 5/20/2003	12376	Mon 5/19/2003	12254														
250049	42.3491723	-71.0454766	Thu 10/3/2002	2862	Wed 10/2/2002	2465	Tue 10/1/2002	2357														
