id,lat,lng,count,general_hazards,pot_holes,road_construction,accidents
203501,42.3421746,-71.0629376,19.5,952,73,16,28
203507,42.4065393,-71.167457,48,0,0,0,0
203513,42.357555,-71.0545667,11,733,81,0,13
203517,42.3646036,-71.0697573,40.5,1133,60,25,6
235775,42.338246,-71.0584426,8.375,48,12,1,0
235780,42.3666665,-71.0682699,19.2,1048,26,4,12
235782,42.3666665,-71.0682699,21.625,1048,26,4,12
238079,42.3614991,-71.075347,11.57142857,450,20,3,3
238081,42.3679413,-71.059324,38.5,664,110,3,33
238092,42.3542372,-71.0800015,103.5,575,6,0,10
238094,42.3542372,-71.0800015,79.5,575,6,0,10
239065,42.3600825,-71.0588801,26.4,513,135,0,9
239053,42.3630786,-71.0533355,16.5,300,34,0,9
239396,42.3309908,-71.0645207,7,691,15,10,21
239413,42.3600825,-71.0588801,6.2,513,135,0,9
240081,42.3600825,-71.0588801,16.75,513,135,0,9
240082,42.3600825,-71.0588801,18,513,135,0,9
240084,42.3600825,-71.0588801,11.5,513,135,0,9
240091,42.4065393,-71.167457,12.5,0,0,0,0
240092,42.3600825,-71.0588801,100.6,513,135,0,9
240093,42.3600825,-71.0588801,18.33333333,513,135,0,9
240095,42.3600825,-71.0588801,28,513,135,0,9
240096,42.3600825,-71.0588801,10.8,513,135,0,9
240101,42.3600825,-71.0588801,19.5,513,135,0,9
250035,42.3493111,-71.0436997,8.333333333,426,116,0,10
250038,42.3600825,-71.0588801,6,513,135,0,9
250036,42.3448372,-71.0493904,1.333333333,96,25,0,4
250041,42.3577756,-71.070295,12,718,52,11,6
250049,42.3491723,-71.0454766,2,429,98,0,14
250058,42.3600825,-71.0588801,57.33333333,513,135,0,9
250067,42.3600825,-71.0588801,5.75,513,135,0,9
250064,42.3499928,-71.0415663,2.5,252,67,0,10
250068,42.3600825,-71.0588801,8.25,513,135,0,9
250077,42.3715978,-71.0431361,3.333333333,16,0,0,5
250078,42.3499928,-71.0415663,22,252,67,0,10
250079,42.3715978,-71.0431361,12.5,16,0,0,5
250088,42.3646036,-71.0697573,43,1133,60,25,6
250091,42.3600825,-71.0588801,100.5,513,135,0,9
252007,42.3385863,-71.0789916,183.6666667,194,3,18,4
255386,42.3577756,-71.070295,14,718,52,11,6
255387,42.3515222,-71.0502456,14.66666667,365,21,6,4
255639,42.3483198,-71.0461705,16,423,94,0,14
256112,42.3567592,-71.0514394,121.5,531,44,3,10
256113,42.3567592,-71.0514394,15,531,44,3,10
256123,42.3630388,-71.0638381,8.5,391,39,0,15
256124,42.3650135,-71.0641789,6.5,989,26,3,38
256129,42.3407231,-71.0776915,16.5,125,3,15,4
256130,42.3407231,-71.0776915,16.5,125,3,15,4
256132,42.3483198,-71.0461705,14,423,94,0,14
256131,42.3495263,-71.0722125,2,516,38,4,3
256133,42.3483198,-71.0461705,18,423,94,0,14
256134,42.3483198,-71.0461705,18,423,94,0,14
256135,42.3454693,-71.0428266,3,257,82,0,4
256136,42.3552315,-71.0540137,5,889,42,15,19
256137,42.3483198,-71.0461705,3,423,94,0,14
256138,42.3533122,-71.0543709,17,718,24,15,6
256139,42.3533122,-71.0543709,9,718,24,15,6
256142,42.3309908,-71.0645207,10,691,15,10,21
256143,42.3329082,-71.0809474,26,445,40,7,7
256144,42.3329082,-71.0809474,22,445,40,7,7
256145,42.3385863,-71.0789916,28,194,3,18,4
256146,42.3385863,-71.0789916,23,194,3,18,4
256147,42.3385863,-71.0789916,26,194,3,18,4
256148,42.3385863,-71.0789916,15,194,3,18,4
256149,42.3385863,-71.0789916,24,194,3,18,4
256162,42.3600825,-71.0588801,24,513,135,0,9
256163,42.3600825,-71.0588801,24,513,135,0,9
256169,42.3577756,-71.070295,9.625,718,52,11,6
256173,42.3663862,-71.067566,4,1036,20,4,16
256174,42.3666665,-71.0682699,22.1,1048,26,4,12
256175,42.3894687,-70.9963538,8,0,0,0,0
256176,42.3666665,-71.0682699,7,1048,26,4,12
256177,42.3666665,-71.0682699,22,1048,26,4,12
256180,42.3646036,-71.0697573,16,1133,60,25,6
256181,42.3666665,-71.0682699,47,1048,26,4,12
256183,42.3600825,-71.0588801,1,513,135,0,9
256184,42.3600825,-71.0588801,13,513,135,0,9
256186,42.3600825,-71.0588801,10,513,135,0,9
256187,42.3600825,-71.0588801,46.75,513,135,0,9
256188,42.3625274,-71.0544561,16.75,465,110,0,9
256189,42.3600825,-71.0588801,15.75,513,135,0,9
256190,42.3666665,-71.0682699,20.5,1048,26,4,12
256191,42.3666665,-71.0682699,3.5,1048,26,4,12
256192,42.3600825,-71.0588801,5,513,135,0,9
256193,42.3600825,-71.0588801,6,513,135,0,9
256195,42.3630786,-71.0533355,14.75,300,34,0,9
256196,42.3607261,-71.0558865,9.5,619,138,0,9
256197,42.3600825,-71.0588801,8.5,513,135,0,9
256201,42.3600825,-71.0588801,8,513,135,0,9
256200,42.3600825,-71.0588801,116,513,135,0,9
256202,42.3385863,-71.0789916,19.5,194,3,18,4
256207,42.3498988,-71.0587361,8.5,1253,81,5,28
256208,42.3600825,-71.0588801,10,513,135,0,9
256209,42.3600825,-71.0588801,12.5,513,135,0,9
256210,42.3600825,-71.0588801,12,513,135,0,9
256211,42.3600825,-71.0588801,7,513,135,0,9
256212,42.3600825,-71.0588801,589,513,135,0,9
256214,42.3600825,-71.0588801,18.25,513,135,0,9
256216,42.3478759,-71.0993314,30.75,593,50,9,14
256215,42.3515222,-71.0502456,3,365,21,6,4
256217,42.3600825,-71.0588801,9,513,135,0,9
256218,42.3600825,-71.0588801,1,513,135,0,9
256225,42.3600825,-71.0588801,26.75,513,135,0,9
256226,42.3515222,-71.0502456,12,365,21,6,4
256227,42.3600825,-71.0588801,4.75,513,135,0,9
256228,42.3600825,-71.0588801,4,513,135,0,9
256229,42.3849882,-71.0472857,14.75,6,0,0,0
256230,42.3600825,-71.0588801,15.25,513,135,0,9
256231,42.3600825,-71.0588801,5.5,513,135,0,9
256234,42.3600825,-71.0588801,26.25,513,135,0,9
256232,42.3600825,-71.0588801,37.75,513,135,0,9
256235,42.3523482,-71.0465781,258.25,314,54,3,3
256236,42.3600825,-71.0588801,137.4285714,513,135,0,9
256430,42.3600825,-71.0588801,5,513,135,0,9
256489,42.3459906,-71.1068376,8.666666667,453,42,5,4
256490,42.3459906,-71.1068376,79,453,42,5,4
256491,42.3459906,-71.1068376,7.333333333,453,42,5,4
256494,42.351276,-71.1177769,17,602,24,57,11
256495,42.351276,-71.1177769,17,602,24,57,11
256497,42.3515222,-71.0502456,25,365,21,6,4
256498,42.3515222,-71.0502456,13,365,21,6,4
256499,42.3329082,-71.0809474,28,445,40,7,7
256500,42.3329082,-71.0809474,30,445,40,7,7
256503,42.3552315,-71.0540137,2,889,42,15,19
256505,42.3478759,-71.0993314,47,593,50,9,14
256506,42.359258,-71.0542585,11,603,100,0,18
256507,42.359258,-71.0542585,9,603,100,0,18
256508,42.3407231,-71.0776915,16.5,125,3,15,4
256509,42.3069456,-71.1070289,11,139,5,21,0
256510,42.3069456,-71.1070289,8,139,5,21,0
256512,42.3069456,-71.1070289,10,139,5,21,0
256516,42.3080764,-71.0583243,10,61,2,3,0
256517,42.3080764,-71.0583243,17,61,2,3,0
256518,42.3080764,-71.0583243,13,61,2,3,0
256519,42.3483198,-71.0461705,16,423,94,0,14
8007,42.3646036,-71.0697573,118.5,1133,60,25,6
8045,42.3567592,-71.0514394,166.5,531,44,3,10
8052,42.3385863,-71.0789916,30.22222222,194,3,18,4
8054,42.3679413,-71.059324,44.16666667,664,110,3,33
8053,42.457091,-71.023946,14.33333333,0,0,0,0
8056,42.3614991,-71.075347,65.375,450,20,3,3
8317,42.3567592,-71.0514394,178.8333333,531,44,3,10
8107,42.3559041,-71.0551567,30,866,70,15,16
8475,42.3679413,-71.059324,26,664,110,3,33
8559,42.3309908,-71.0645207,19.5,691,15,10,21
8562,42.3329082,-71.0809474,30,445,40,7,7
8570,42.3407231,-71.0776915,17.5,125,3,15,4
8571,42.3407231,-71.0776915,17,125,3,15,4
8572,42.3069456,-71.1070289,13,139,5,21,0
8573,42.3069456,-71.1070289,12,139,5,21,0
8574,42.3385863,-71.0789916,12,194,3,18,4
8578,42.3385863,-71.0789916,35,194,3,18,4
8592,42.351276,-71.1177769,28,602,24,57,11
8591,42.3486506,-71.0827,33,280,32,2,15
8594,42.3385863,-71.0789916,40,194,3,18,4
8601,42.3459906,-71.1068376,9.333333333,453,42,5,4
8608,42.3459906,-71.1068376,334.6666667,453,42,5,4
8609,42.3459906,-71.1068376,16.33333333,453,42,5,4
8628,42.3495263,-71.0722125,22,516,38,4,3
8634,42.3486506,-71.0827,16.33333333,280,32,2,15
8630,42.3498988,-71.0587361,23,1253,81,5,28
8635,42.3459906,-71.1068376,12,453,42,5,4
8636,42.3407231,-71.0776915,16,125,3,15,4
8637,42.3407231,-71.0776915,16,125,3,15,4
8640,42.3486506,-71.0827,9.666666667,280,32,2,15
8652,42.3080764,-71.0583243,11,61,2,3,0
8653,42.3080764,-71.0583243,23,61,2,3,0
8657,42.3432403,-71.0468053,17,38,12,0,0
